id,title,genre,features
1,Inception,Sci-Fi,"1;1;0;1"
2,Interstellar,Sci-Fi,"1;1;0;0"
3,Titanic,Romance,"0;0;1;1"
4,Avengers,Action,"1;1;0;0.5"
5,The Notebook,Romance,"0;0;1;1"
6,The Matrix,Sci-Fi,"1;1;0;0.8"
7,The Dark Knight,Action,"1;1;0;0.9"
8,Avatar,Sci-Fi,"1;0;0;1"
9,La La Land,Romance,"0;0;1;0.8"
10,Gravity,Sci-Fi,"1;0;0;0.7"
11,The Godfather,Crime,"0;0;1;1"
12,Pulp Fiction,Crime,"0;1;1;0.9"
13,The Shawshank Redemption,Drama,"0;0;1;1"
14,Forrest Gump,Drama,"0;0;1;0.9"
15,Guardians of the Galaxy,Sci-Fi,"1;1;0;0.6"
16,Wonder Woman,Action,"1;1;0;0.5"
17,Black Panther,Action,"1;1;0;0.7"
18,Crazy Rich Asians,Romance,"0;0;1;0.8"
19,The Martian,Sci-Fi,"1;1;0;0.9"
20,Spider-Man: No Way Home,Action,"1;1;0;0.8"
